;"Biofuels and waste";"Coal";"Crude oil";"Electricity";"Gas";"Geothermal";"Heat";"Oil products";"Others"
"1971-01-01 00:00:00";;;;;;;;;
"1975-01-01 00:00:00";;;;;;;;;
"1980-01-01 00:00:00";;225,42;;24,718;12,158;;;54,027;1,845
"1981-01-01 00:00:00";;226,138;;25,427;10,678;;;54,443;1,656
"1982-01-01 00:00:00";;238,159;;27,007;10,176;;;54,861;1,708
"1983-01-01 00:00:00";;256,145;;29,041;10,278;;;56,586;1,793
"1984-01-01 00:00:00";;277,155;;31,18;10,679;;;59,205;1,937
"1985-01-01 00:00:00";;298,564;;34,053;11,915;;;63,781;1,978
"1986-01-01 00:00:00";;297,423;;37,505;12,492;;;68,755;1,687
"1987-01-01 00:00:00";;314,795;;41,547;13,116;;;73,368;1,635
"1988-01-01 00:00:00";;336,653;;45,723;13,732;;;78,805;1,8
"1989-01-01 00:00:00";;344,13;;49,02;13,898;;;83,656;1,902
"1990-01-01 00:00:00";200,445;311,405;2,641;39,028;8,871;0,032;13,215;81,958;
"1995-01-01 00:00:00";203,616;358,75;1,35;65,918;9,073;1,192;19,498;124,861;
"2000-01-01 00:00:00";196,855;274,465;2,259;89,13;12,377;2,497;25,501;178,11;
"2005-01-01 00:00:00";166,125;538,057;3,617;171,506;28,905;5,001;43,391;270,041;
"2010-01-01 00:00:00";120,526;706,77;3,239;296,711;60,228;11,881;61,715;365,79;
"2015-01-01 00:00:00";90,283;749,933;3,423;419,287;104,655;29,637;83,295;477,009;