;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel"
"1980-01-01 00:00:00";34,579258;48,495758;1,4805522;0,78167748;11,433485;0;0;0;0;0;
"1981-01-01 00:00:00";39,169647;54,627235;1,8579478;0,78688866;12,175408;0;0;0;0;0;
"1982-01-01 00:00:00";39,32098;58,213715;2,5208557;0,52632952;11,86832;0;0;0;0;0;
"1983-01-01 00:00:00";41,061291;61,829437;3,0023675;0,90935147;12,251566;0;0;0;0;0;
"1984-01-01 00:00:00";43,886147;66,945076;3,2006369;1,0005472;13,120009;0;0;0;0;0;
"1985-01-01 00:00:00";47,114555;70,285019;3,8237698;1,2233253;12,408303;0;0;0;0;0;
"1986-01-01 00:00:00";50,104111;75,727722;5,2254782;1,2332265;13,096425;0;0,00049134012;0;0;0;
"1987-01-01 00:00:00";52,186874;81,890244;6,5899086;1,2363532;11,544773;0;0,00073701021;0;0;0;
"1988-01-01 00:00:00";57,695568;87,451714;8,9994345;1,3523021;14,074684;0;0,0014740204;0;0;0;
"1989-01-01 00:00:00";60,538082;92,875526;9,1445866;0,99012482;15,111411;0;0,0014740204;0;0;0;
"1990-01-01 00:00:00";61,434772;99,292679;11,583143;1,4619974;17,427589;0;0,0078614419;0;0;0;
"1991-01-01 00:00:00";62,603733;106,85029;13,034665;1,3470908;17,699791;0;0,0095811328;0;0;0;
"1992-01-01 00:00:00";67,08226;112,94308;13,840332;1,5664817;16,997175;0;0,021618966;0;0;0;
"1993-01-01 00:00:00";68,766624;118,50455;15,439659;1,5364853;17,141138;0;0,024321336;0;0;0;
"1994-01-01 00:00:00";74,067757;124,99818;17,233627;1,2298392;20,120378;0;0,049134012;0;0;0;
"1995-01-01 00:00:00";82,401215;132,65971;18,21805;1,6832122;17,656307;0;0,12995946;0,00024567006;0;0;
"1996-01-01 00:00:00";87,820808;139,41113;18,16205;1,933349;16,764771;0;0,2265078;0,0014740204;0;0;
"1997-01-01 00:00:00";92,27729;144,59515;18,696228;2,7228432;18,158457;0;0,25475985;0,0014740204;0;0;
"1998-01-01 00:00:00";92,370193;146,03343;19,838264;2,7723494;20,187447;0;0,27687016;0,0014740204;0;0;
"1999-01-01 00:00:00";101,93198;154,80844;19,617224;2,9834025;19,629284;0,23191936;0,37071612;0,0014740204;0;0;
"2000-01-01 00:00:00";118,82392;160,61284;18,742277;3,6634617;18,11006;0,32172543;0,41370839;0,0017196905;0,084980182;0;0
"2001-01-01 00:00:00";119,1159;165,73073;18,4844;4,7512918;17,924088;0,43469954;0,55054659;0,0029480408;0,087910533;0;0
"2002-01-01 00:00:00";123,45559;172,4727;24,019588;4,6275306;16,640461;0,43947646;0,66011548;0,003439381;0,093771234;0;0
"2003-01-01 00:00:00";127,23901;177,78268;25,264786;4,2653537;19,652132;0,44496989;0,8819555;0,0041763913;0,096701585;0;0
"2004-01-01 00:00:00";132,82011;197,56276;28,50386;3,919852;22,013758;0,45213529;1,1030586;0,0046677315;0,10256229;0;0
"2005-01-01 00:00:00";133,23218;208,526;33,260674;4,099638;26,245178;0,45930067;1,6221595;0,0046677315;0,10842299;0;0,0085696056
"2006-01-01 00:00:00";144,78244;221,86194;35,898205;4,0631595;29,276011;0,46551067;2,1348729;0,0046677315;0,12014439;0;0,017139211
"2007-01-01 00:00:00";154,51767;241,80037;39,050251;4,1058912;31,098145;0,4719595;2,8979242;0,014494534;0,1318658;0;0,0085696056
"2008-01-01 00:00:00";159,76056;250,06429;40,74239;3,433388;28,408058;2,2826502;3,3659256;0,015477214;0,14651756;0;0,01542529
"2009-01-01 00:00:00";161,66931;261,93564;50,522839;3,8422053;27,516275;2,853492;4,37391;0,018425254;0,050496865;0;0,022280974
"2010-01-01 00:00:00";166,43375;279,39105;61,233208;5,3370333;27,863899;3,5045857;4,8298736;0,027760718;0,025248433;0;0,079697333
"2011-01-01 00:00:00";174,44714;295,73651;60,777447;7,5426664;31,774965;4,211092;6,0262866;0,20316914;0,18431352;0;0,086981498
"2012-01-01 00:00:00";183,98074;349,52249;56,609146;7,7294874;27,687016;4,904223;7,3995824;0,56258446;0,15401541;0;0,088695414
"2013-01-01 00:00:00";185,21643;359,09821;49,848709;7,893095;32,828892;5,5333428;8,1488762;1,0170741;0,19289798;0;0,094694138
"2014-01-01 00:00:00";193,3947;392,59286;48,749191;8,6589022;31,470335;6,0714626;9,1733198;1,4371699;0,17673899;0;0,058273319
"2015-01-01 00:00:00";212,8927;399,03946;47,13599;9,0268116;29,54674;6,3626161;10,234615;2,5746224;0,34590349;0;0,074555568
"2016-01-01 00:00:00";224,52179;390,21487;51,35458;9,1213942;29,794865;10,422279;11,02076;3,471318;0,56051511;0;0,072413169